Category,Metric,Value,Notes
BUDGET,Total Budget,$160.00,
BUDGET,Estimated Cost,$108.24,
BUDGET,Remaining,$51.76,Buffer for reruns
BUDGET,GPU Rate,$/hr,11.058
,,,
ABLATION RESULTS,5 Variations Mean,,
ABLATION RESULTS,5 Variations Std,,
ABLATION RESULTS,10 Variations Mean,,
ABLATION RESULTS,10 Variations Std,,
ABLATION RESULTS,20 Variations Mean,,
ABLATION RESULTS,20 Variations Std,,
ABLATION RESULTS,30 Variations Mean,,
ABLATION RESULTS,30 Variations Std,,
ABLATION RESULTS,Best Condition,,
ABLATION RESULTS,Comparison,,
,,,
BASELINE RESULTS,Fine-Tune Mean,,
BASELINE RESULTS,Fine-Tune Std,,
BASELINE RESULTS,RAG Mean,,
BASELINE RESULTS,RAG Std,,
BASELINE RESULTS,System Prompt Mean,,
BASELINE RESULTS,System Prompt Std,,
BASELINE RESULTS,Few-Shot Mean,,
BASELINE RESULTS,Few-Shot Std,,
BASELINE RESULTS,Best Method,,
BASELINE RESULTS,Fine-Tune vs RAG (p-value),,
,,,
DEPTH RESULTS,Tier 1 Mean,,
DEPTH RESULTS,Tier 1 Std,,
DEPTH RESULTS,Tier 2 Mean,,
DEPTH RESULTS,Tier 2 Std,,
DEPTH RESULTS,Tier 3 Mean,,
DEPTH RESULTS,Tier 3 Std,,
DEPTH RESULTS,Tier 4 Mean,,
DEPTH RESULTS,Tier 4 Std,,
DEPTH RESULTS,Degradation Rate,,% drop per tier
,,,
FINAL CLAIMS,Overall Accuracy,,
FINAL CLAIMS,Cost per Training,$3.0,
FINAL CLAIMS,Training Time,15,minutes
FINAL CLAIMS,Optimal Variations,,
FINAL CLAIMS,Beats RAG by,,percentage points
FINAL CLAIMS,Reproducibility (Std),,across runs
